,0,1,2,3,4,5,6,7,8,9,10,11
58,-1.1841123702095326,-2.0800800919322704,-2.077350755082883,-2.1885369880225247,-2.4380513054216557,-2.4418581129687387,-2.5558662907377476,-2.5674395879433836,-2.5995911804620424,-3.2344732946087857,-3.2422793166363264,-3.282229709635425
59,-1.1840482203755018,-2.080128849518817,-2.0773187453963504,-2.188509669612693,-2.4367852006665247,-2.4430472143839115,-2.555892116980091,-2.5673491683821363,-2.599699512717098,-3.23455529074537,-3.242281891893924,-3.2822531229931653
60,-1.1839861738147182,-2.079833287146257,-2.077630506557439,-2.1884832468883877,-2.4365652482110307,-2.4431926881990895,-2.555927971172564,-2.567250749097678,-2.5998043826818638,-3.234634804214607,-3.2422841768002963,-3.282275768869894
61,-1.183926128755895,-2.0799932065585067,-2.0774862633921596,-2.188457676510072,-2.4376286369770956,-2.442057223329388,-2.5559737033340086,-2.567144542696348,-2.599905797120878,-3.2347119565798463,-3.242286184025865,-3.2822976843772267
62,-1.183867989889416,-2.080115492121605,-2.0773791564174005,-2.18843291788978,-2.437858606166038,-2.441757466167299,-2.5560290287198457,-2.567030604546747,-2.6000040503950674,-3.234786861508197,-3.242287925560289,-3.28231890426456
63,-1.183811667862514,-2.0798226049948894,-2.077686747801564,-2.188408932976397,-2.4367145233661223,-2.4428339418680594,-2.5560935438153356,-2.566909354805048,-2.6000991867854824,-3.2348596254351003,-3.2422894128208295,-3.2823394611167798
64,-1.183757078821055,-2.0799144038492567,-2.077609200765951,-2.1883856860603355,-2.436718001594078,-2.442764936759498,-2.556166743430082,-2.5667811295150686,-2.600191432612871,-3.234930348068387,-3.242290656648408,-3.2823593855206052
65,-1.1837041439929739,-2.080092998661124,-2.0774444258995426,-2.188363143596285,-2.437829701134562,-2.4415896960013455,-2.55624802028218,-2.5666465232028424,-2.6002808543425115,-3.234999122983618,-3.2422916673530113,-3.282378706208923
66,-1.1836527893090145,-2.0798216649123074,-2.077729167058134,-2.1883412740415764,-2.4376510714405746,-2.4417066812305706,-2.5563366576365887,-2.5665061259442834,-2.6003676291341264,-3.2350660379989304,-3.242292454742821,-3.2823974502016293
67,-1.1836029450569363,-2.0798454394136177,-2.0777184056310283,-2.1883200477090785,-2.436683424527105,-2.442614496751639,-2.556431813081934,-2.5663607501954186,-2.600451834475939,-3.235131175712528,-3.242293028160925,-3.282415642940061
68,-1.1835545455657879,-2.080060938830821,-2.0775155420974616,-2.1882994366325814,-2.4368839568091634,-2.442355867320467,-2.556532492751873,-2.5662112926888416,-2.6005336122767795,-3.2351946137993166,-3.242293396499396,-3.2824333083775428
69,-1.1835075289172434,-2.0798278297581874,-2.0777609260284846,-2.1882794144440183,-2.437974331314318,-2.4412090555847468,-2.5566375217194843,-2.566058889541326,-2.6006130435645125,-3.235256425415468,-3.2422935682547074,-3.2824504691076046
70,-1.1834618366813345,-2.0797873870445884,-2.0778132978297963,-2.188259956260754,-2.437455458964576,-2.4416730804852307,-2.556745507462247,-2.5659048565861906,-2.6006902448680704,-3.235316679501034,-3.2422935515001035,-3.2824671464558235
